Element_ID,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8
1,238,239,532,533,236,237,528,529
2,240,241,536,537,238,239,532,533
3,242,243,540,541,240,241,536,537
4,244,245,544,545,242,243,540,541
5,795,787,800,807,244,245,544,545
6,518,47,42,587,516,46,41,583
7,520,48,43,591,518,47,42,587
8,522,49,44,595,520,48,43,591
9,524,50,45,599,522,49,44,595
10,852,846,854,861,524,50,45,599
11,37,765,713,9,36,761,711,7
12,38,769,715,11,37,765,713,9
13,39,773,717,13,38,769,715,11
14,40,777,719,15,39,773,717,13
15,909,815,803,908,40,777,719,15
16,194,238,533,284,192,236,529,282
17,196,240,537,286,194,238,533,284
18,198,242,541,288,196,240,537,286
19,200,244,545,290,198,242,541,288
20,802,795,807,811,200,244,545,290
21,232,549,418,419,231,546,416,417
22,233,552,420,421,232,549,418,419
23,234,555,422,423,233,552,420,421
24,235,558,424,425,234,555,422,423
25,843,833,847,855,235,558,424,425
26,746,107,213,305,742,106,211,301
27,750,108,215,309,746,107,213,305
28,754,109,217,313,750,108,215,309
29,758,110,219,317,754,109,217,313
30,876,874,873,875,758,110,219,317
31,745,746,305,306,741,742,301,302
32,749,750,309,310,745,746,305,306
33,753,754,313,314,749,750,309,310
34,757,758,317,318,753,754,313,314
35,920,876,875,919,757,758,317,318
36,452,223,114,451,448,221,112,447
37,456,225,116,455,452,223,114,451
38,460,227,118,459,456,225,116,455
39,464,229,120,463,460,227,118,459
40,838,892,893,825,464,229,120,463
41,137,585,586,136,133,581,582,132
42,141,589,590,140,137,585,586,136
43,145,593,594,144,141,589,590,140
44,149,597,598,148,145,593,594,144
45,925,926,864,870,149,597,598,148
46,8,174,173,2,6,172,171,1
47,10,176,175,3,8,174,173,2
48,12,178,177,4,10,176,175,3
49,14,180,179,5,12,178,177,4
50,907,798,905,906,14,180,179,5
51,726,418,224,499,722,416,222,497
52,730,420,226,501,726,418,224,499
53,734,422,228,503,730,420,226,501
54,738,424,230,505,734,422,228,503
55,850,847,891,848,738,424,230,505
56,42,232,419,62,41,231,417,61
57,43,233,421,63,42,232,419,62
58,44,234,423,64,43,233,421,63
59,45,235,425,65,44,234,423,64
60,854,843,855,858,45,235,425,65
61,568,618,615,162,564,614,611,161
62,572,622,619,163,568,618,615,162
63,576,626,623,164,572,622,619,163
64,580,630,627,165,576,626,623,164
65,830,835,826,820,580,630,627,165
66,9,713,174,8,7,711,172,6
67,11,715,176,10,9,713,174,8
68,13,717,178,12,11,715,176,10
69,15,719,180,14,13,717,178,12
70,908,803,798,907,15,719,180,14
71,135,136,293,294,131,132,291,292
72,139,140,295,296,135,136,293,294
73,143,144,297,298,139,140,295,296
74,147,148,299,300,143,144,297,298
75,872,870,866,869,147,148,299,300
76,214,728,725,432,212,724,721,428
77,216,732,729,436,214,728,725,432
78,218,736,733,440,216,732,729,436
79,220,740,737,444,218,736,733,440
80,868,863,856,865,220,740,737,444
81,450,451,337,338,446,447,333,334
82,454,455,341,342,450,451,337,338
83,458,459,345,346,454,455,341,342
84,462,463,349,350,458,459,345,346
85,834,825,817,831,462,463,349,350
86,184,335,378,379,182,331,376,377
87,186,339,380,381,184,335,378,379
88,188,343,382,383,186,339,380,381
89,190,347,384,385,188,343,382,383
90,832,822,816,823,190,347,384,385
91,238,194,122,603,236,192,121,601
92,240,196,123,605,238,194,122,603
93,242,198,124,607,240,196,123,605
94,244,200,125,609,242,198,124,607
95,795,802,797,790,244,200,125,609
96,102,453,450,97,101,449,446,96
97,103,457,454,98,102,453,450,97
