Node_ID,X,Y,Z
1,45.0,-2.22044605e-14,0.0
2,45.0,-3.37528616e-14,3.0
3,45.0,-4.53012627e-14,6.0
4,45.0,-5.68496639e-14,9.0
5,45.0,-6.8398065e-14,12.0
6,42.0,-3.55271368e-15,0.0
7,39.0,-3.55271368e-15,0.0
8,42.0,-5.82429475e-14,3.0
9,39.0,-5.57324094e-14,3.0
10,42.0,-7.34978282e-14,6.0
11,39.0,-7.34503199e-14,6.0
12,42.0,-8.87527089e-14,9.0
13,39.0,-9.11682304e-14,9.0
14,42.0,-1.0400759e-13,12.0
15,39.0,-1.08886141e-13,12.0
16,45.0,15.0,0.0
17,45.0,15.0,3.0
18,45.0,15.0,6.0
19,45.0,15.0,9.0
20,45.0,15.0,12.0
21,24.0,6.0,0.0
22,24.0,5.9999999999999,3.0
23,24.0,5.9999999999999,6.0
24,24.0,5.9999999999999,9.0
25,24.0,5.9999999999999,12.0
26,0.0,6.0,0.0
27,-9.11852283e-15,5.9999999999999,3.0
28,-2.01191187e-14,5.9999999999999,6.0
29,-3.11197145e-14,5.9999999999999,9.0
30,-4.21203104e-14,5.9999999999999,12.0
31,45.0,12.0,0.0
32,45.0,12.0,3.0
33,45.0,12.0,6.0
34,45.0,12.0,9.0
35,45.0,12.0,12.0
36,36.0,-7.10542736e-15,0.0
37,36.0,-5.46429568e-14,3.0
38,36.0,-7.26922689e-14,6.0
39,36.0,-9.07415809e-14,9.0
40,36.0,-1.08790893e-13,12.0
41,6.0,18.0,0.0
42,5.9999999999999,18.0,3.0
43,5.9999999999999,18.0,6.0
44,5.9999999999999,18.0,9.0
45,5.9999999999999,18.0,12.0
46,6.0,21.0,0.0
47,5.9999999999999,21.0,3.0
48,5.9999999999999,21.0,6.0
49,5.9999999999999,21.0,9.0
50,5.9999999999999,21.0,12.0
51,27.0,15.0,0.0
52,27.0,15.0,3.0
53,27.0,15.0,6.0
54,27.0,15.0,9.0
55,27.0,15.0,12.0
56,33.0,-7.10542736e-15,0.0
57,33.0,-5.21324188e-14,3.0
58,33.0,-7.26447606e-14,6.0
59,33.0,-9.31571024e-14,9.0
60,33.0,-1.13669444e-13,12.0
61,6.0,15.0,0.0
62,5.9999999999999,15.0,3.0
63,5.9999999999999,15.0,6.0
